CÃ³d Suc;Desc;Precio;Costo;Ganancia_$;Margen_%
3;AC NEG CONDIMENTA;23999,9;10889,748;13110,152;54,63
4;AJI EN VINAGRE DESPUNTADOS;26999,9;13999,033;13000,867;48,15
5;PICKLES;9799,9;4671,833;5128,067;52,33
6;AC NEG SUPER;23999,9;11759,192;12240,708;51
8;CEREZAS AL MARRASCHINO;29999,9;15261,334;14738,566;49,13
9;PEPINITOS;20499,9;11334,45;9165,45;44,71
11;CEBOLLITAS;19999,9;11334,45;8665,45;43,33
12;AC NEG GRIEGAS;20999,9;9878,869;11121,031;52,96
13;AC VDE DESCAROZADAS;15999,9;7611,976;8387,924;52,42
19;BOLSAS ECOLOGICAS;499,99;312,674;187,316;37,46
20;PAPAS C/AMERIC X BOLSA;8399,99;5580,322;2819,668;33,57
23;AC VDES SUPER;16999,9;7895,799;9104,101;53,55
25;ALCAPARRA 65GS.;4399,99;2766,74;1633,25;37,12
27;MORRON LATA X 135G;1999,99;1324,438;675,552;33,78
29;ANCHOA 90G.;6999,9;4474,731;2525,169;36,07
31;PALMITO CUMANA X 396;4599,99;3286,137;1313,853;28,56
32;PAPAS PAY;1299,99;853,609;446,381;34,34
33;AC NEG DESCAROZADAS;21999,9;10761,761;11238,139;51,08
37;ANCHOA EN ACEITE X 3UN.;919,99;557,324;362,666;39,42
45;PEPINOS AGRIDULCES;19499,99;10737,894;8762,096;44,93
46;CHUCRUT FCO 660G.;12499,99;8083,072;4416,918;35,34
47;AC VDE C/ALMENDRAS;47999,9;29013,13;18986,77;39,56
49;TOMATE PERITA;1199,99;823,597;376,393;31,37
52;ALF FRUT ROJOS LA BUSTINCERA;2299,99;1466,116;833,874;36,26
57;CEREZAS X 135G;5299,99;3328,918;1971,072;37,19
75;MANI CON VAINA;9999,9;5532,869;4467,031;44,67
77;CHIZITO BOLSA;4199,99;3000,587;1199,403;28,56
80;CONOS MAXI QUESO;1259,99;840,193;419,797;33,32
81;MAY. NATURA SACHET X 125 G;699,99;481,276;218,714;31,25
85;CHIMI VANOLI X 350 G CLASICO;2199,99;1490,493;709,497;32,25
87;LEBER CALCHAQUI;1399,99;1003,021;396,969;28,36
88;LUPINES X 200G;4599,99;2863,429;1736,561;37,75
92;DURAZNOS CUMANA;2599,99;1839,892;760,098;29,23
93;PAPAS SABOR KETCHUP;1399,99;891,402;508,588;36,33
94;MORTADELITA CALCHAQUI;3149,99;2151,862;998,128;31,69
100;SOPRESATTA NAHUEL AL VACIO;5999,99;3499,304;2500,686;41,68
101;FUET BOCATTI;4899,99;3379,845;1520,145;31,02
103;MAY. NATURA  X 250 G POUCH;1499,99;1040,877;459,113;30,61
106;PRE PIZZA  ADSER;2599,99;1729,189;870,801;33,49
108;VINO NIETO SENETINER MALBEC;7899,99;6033,029;1866,961;23,63
111;MANI JAPONES JAMON J.L;14999,9;8010,643;6989,257;46,6
112;MANTECA X 100 PAULINA;2099,99;1439,367;660,623;31,46
113;MANTECA X 200 PAULINA;3899,99;2734,698;1165,292;29,88
116;QUESO UNT.FONTINA PAULINA;2299,99;1605,633;694,357;30,19
119;PROVOLETA EN CAZUELA;24599,99;15484,26;9115,73;37,06
120;FIGAZAS ARABES ADSER;1599,99;1069,863;530,127;33,13
124;BASTONITOS X 60 GRS;1099,99;749,689;350,301;31,85
125;KETCHUP NATURA X 250 G;1649,99;1113,149;536,841;32,54
126;PAPAS FRITAS;26999,99;13286,48;13713,51;50,79
127;PAPAS CORTE AMERICANO;26999,99;13286,48;13713,51;50,79
128;PALITOS SALADOS;14599,99;8572,846;6027,144;41,28
129;CHIZITOS;17499,99;10001,958;7498,032;42,85
130;MANI RE-PELADO;18999,99;10917,664;8082,326;42,54
133;PAPAS FRITAS X 105G;2399,99;1587,441;812,549;33,86
146;DULC DE LECH S/AZUC X 450;5999,99;4089,523;1910,467;31,84
159;BASTONITOS;19499,9;10996,513;8503,387;43,61
163;PIZZETAS ADSER;1799,99;1244,016;555,974;30,89
164;MANI JAPONES PIZZA J.L;14999,9;8010,643;6989,257;46,6
165;MIEL C/LIMON X 500;4999,99;3340,679;1659,311;33,19
169;RALLADO PAULINA 40G;1359,99;956,366;403,624;29,68
171;QUESO RALLADO EN POTE;16999,9;8342,002;8657,898;50,93
172;MIEL ORGANIC CREMOSA X 500;6099,99;4056,542;2043,448;33,5
174;PEBETES;1549,99;1063,666;486,324;31,38
175;MANI JAPONES QUESO J.L;14999,9;8010,643;6989,257;46,6
185;ATUN EN ACEITE;3099,99;2137,484;962,506;31,05
186;ATUN AL NATURAL;3199,99;2137,484;1062,506;33,2
187;TAPA EMP PREMIUM ORALI;1859,99;1227,995;631,995;33,98
188;SALAME BOCATTI FETEADO;2199,99;1508,533;691,457;31,43
202;BATATA LATA ESNAOLA;4599,99;2802,195;1797,795;39,08
203;BAT CON CHOCO LATA;4599,99;2802,195;1797,795;39,08
204;BATATA CON GUINDA;6499,99;4038,063;2461,927;37,88
205;MEMBRILLO ESNAOLA;5599,99;3437,171;2162,819;38,62
206;BATATA CAJON;2899,99;1772,315;1127,675;38,89
207;BAT CON CHOCO CAJON;2899,99;1772,315;1127,675;38,89
208;MEMBRILLO CAJON;3599,99;2175,434;1424,556;39,57
211;BOCADITOS DE HIGO C/NUEZ;329,99;196,771;133,219;40,37
212;PAPAS CHEDDAR X 55 GRS;1349,99;891,46;458,53;33,97
215;MANI RE PELADO SIN SAL;7199,9;4209,827;2990,073;41,53
224;PASAS DE UVA SULTANINAS;9249,9;5443,639;3806,261;41,15
225;CIRUELAS PRES.S/CAROZO;19399,9;11426,599;7973,301;41,1
226;CIRUELAS DAGEN S/CAROZO;10599,9;6254,558;4345,342;40,99
227;CIRUELAS DAGEN C/CAROZO;9999,9;5833,579;4166,321;41,66
228;PERAS WILLIAMS;18499,9;10768,939;7730,961;41,79
230;OREJONES DE DURAZNO;23999,9;14200,801;9799,099;40,83
234;PASTRON AHUMADO;41199,9;22280,652;18919,248;45,92
236;LOMO IBERICO;37999,99;18179,956;19820,034;52,16
239;ROMANITO;21999,99;12499,905;9500,085;43,18
245;HUEVOS;1999,99;1370,125;629,865;31,49
246;BONDIOLA ESF X 100 GRS;34599,9;18197,338;16402,562;47,41
256;BONDIOLA ESF X 1/4 KG;32399,96;18197,338;14202,622;43,84
262;MERM.FRUT ROJ S/AZUC CORMILLOT;4459,99;2980,705;1479,285;33,17
270;MEMB. LIGHT S/AZUCAR CORMILLOT;2699,99;1811,277;888,713;32,92
280;PISTACHIO;76999,9;46744,293;30255,607;39,29
282;GANCIA AMERICANO 1L;7099,99;5440,287;1659,703;23,38
293;QUESO DE CABRA;54999,99;37411,688;17588,302;31,98
295;QUESO GOUDA;21999,99;14796,132;7203,858;32,74
296;SALAME MILAN GIGANTE NAHUEL;19499,9;10181,167;9318,733;47,79
298;MOZZARELLA BOCCONCINI;34599,99;17432,673;17167,317;49,62
300;BURRATA;9699,99;6068,452;3631,538;37,44
303;PAN ARABE INTEG ADSER;1499,99;1069,863;430,127;28,68
307;POR SALUT S/SAL LA FINCA;9799,99;5965,495;3834,495;39,13
331;MERM ARAND LIGHT LAS QUINAS;5999,99;4056,542;1943,448;32,39
334;ALMENDRAS CON CHOCOLATE;6999,99;4497,689;2502,301;35,75
342;JAMON NATURAL EST SAN FRANC;23999,9;14177,152;9822,748;40,93
347;MERM FRUT LIGHT LAS QUINAS;5999,99;4056,542;1943,448;32,39
349;BATATITAS NUEST SABORES;1249,99;797,963;452,027;36,16
360;PROMOCION 13;6299,99;4317,038;1982,952;31,48
361;PROMOCION 9;7099,99;4892,343;2207,647;31,09
369;LOMO HORNEADO BOCATTI;28999,9;14176,336;14823,564;51,12
375;CHIPS MANDIOCA NUEST SABORES;1199,99;797,963;402,027;33,5
376;SPIANATTA;37999,9;18164,123;19835,777;52,2
379;LONGANIZA PICANTE NAHUEL;25499,99;14347,133;11152,857;43,74
381;SALSA POMAROLA VANOLI;1899,99;1234,791;665,199;35,01
387;TAPA EMP ORALI;1299,99;876,86;423,13;32,55
390;PAPAS RUSTICAS NUEST SABORES;1359,99;825,44;534,55;39,31
392;PAN ARABE COPETIN ADSER;1499,99;1069,863;430,127;28,68
399;JAMON CRUDO DESHUESADO;51299,99;21361,821;29938,169;58,36
400;JAM.COCIDO ITALIANO BOCATTI;24599,9;15800,138;8799,762;35,77
402;JAM.COCIDO EST.SAN FRANCISC;19999,9;10965,011;9034,889;45,17
403;JAM. CRUDO PARMA EST SAN FR;69999,9;28996,141;41003,759;58,58
404;JAMON CRUDO NACIONAL;31999,9;15463,814;16536,086;51,68
405;JAMON CRUDO PROMO X 1/4 KG.;19199,96;11174,399;8025,561;41,8
406;BONDIOLA PROMO;27999,9;15155,272;12844,628;45,87
407;LOMO AHUMADO;22999,9;12374,812;10625,088;46,2
408;LOMO NATURAL AHUMADO;27999,9;13737,63;14262,27;50,94
410;JAMON CRUDO SERRANO;49999,9;23887,6;26112,3;52,22
415;NUCREM GEORGALOS;19499,99;12559,373;6940,617;35,59
417;SALAME MILAN ESPANOL;36999,9;18760,104;18239,796;49,3
418;SALAMIN FINO 214;24999,99;13108,046;11891,944;47,57
419;SALAMIN GRUESO 214;24999,99;13108,046;11891,944;47,57
422;CANDELARIO;29599,99;16014,737;13585,253;45,9
423;QUESO DE CERDO;11999,9;6719,632;5280,268;44
424;MORTAD.BOCHA CALCHAQUI;10499,9;6811,767;3688,133;35,13
425;FIAMBRIN;17599,9;11036,289;6563,611;37,29
426;SALAME PEPERONI;26999,9;15081,576;11918,324;44,14
428;SARDO OFERTA;7099,99;5005,197;2094,793;29,5
429;CREMOSO X 1/2 HORMA;5799,99;5036,229;763,761;13,17
431;MERM.FRAMBU C MICO;13199,99;8817,163;4382,827;33,2
432;SARDO SAN FRANCISCO;20599,99;11971,74;8628,25;41,88
433;COOKIES CHOCO C SEMILLAS;2299,99;1525,294;774,696;33,68
435;REGGIANITO PAULINA;30999,99;18645,163;12354,827;39,85
436;MERM.FRUTILLA C MICO;7999,99;5280,547;2719,443;33,99
438;FONTINA SAN ISIDRO;18999,99;11919,628;7080,362;37,27
439;FONTINA SUIZO;24599,9;15206,316;9393,584;38,19
440;GRUYERE;29999,99;18117,82;11882,17;39,61
441;MAR DEL PLATA OFERTA;13499,99;9689,504;3810,486;28,23
442;MAR DEL PLATA DE CAMPO;20899,99;12534,834;8365,156;40,02
443;PATEGRAS PAULINA;21999,99;13896,937;8103,053;36,83
447;MERM.MOSQUETA C MICO;6699,99;4456,797;2243,193;33,48
450;TALUHET;21499,99;12850,231;8649,759;40,23
451;CREMOSO LA PAULINA X 1/2 HO;7099,99;5585,415;1514,575;21,33
452;CREMOSO PAULINA;7859,99;5585,415;2274,575;28,94
453;PORT SALUT LA PAULINA;10999,99;7159,57;3840,42;34,91
456;SALCH.PRIMAVERA PROMO;8199,96;5161,71;3038,25;37,05
457;JAMON COCIDO PROMO X 1/4KG.;11999,96;7835,973;4163,987;34,7
458;JAMON COCIDO PROMO X 100G;14499,9;7835,973;6663,927;45,96
461;SALAME PROMO X 1/4;14399,96;9209,766;5190,194;36,04
462;SALAME PROMO X 100G;15499,9;9209,766;6290,134;40,58
465;BARRA PROMO;10999,96;6984,008;4015,952;36,51
466;BARRA PAULINA;14399,9;8448,293;5951,607;41,33
468;MORTADELA PROMOCION;7999,96;5161,71;2838,25;35,48
470;PICADA ESPECIAL;3399,99;2321,795;1078,195;31,71
471;RICOTTA;5299,99;3280,304;2019,686;38,11
473;MORTADELA ITALIANA C/PISTA;19999,9;7794,213;12205,687;61,03
475;PORT SALUT EST SAN FRANCISCO;9999,99;6455,35;3544,64;35,45
477;SALCH.C/JAMON PROMO X 100 G;9299,9;5173,646;4126,254;44,37
479;SALCH.PRIMA PROMO X 100 G;8999,9;5161,71;3838,19;42,65
482;SARDO ESF X  1/2 HORMA;18499,99;11971,74;6528,25;35,29
485;PROVOLETA PARRILLERA;20599,99;12548,567;8051,423;39,08
487;CERV BLEST BOCK X 355 CC;2799,99;2156,862;643,128;22,97
488;SALAME MILAN ESPECIAL;25499,9;13741,773;11758,127;46,11
489;MERM. FRAMB CORMILLOT;3959,99;2635,813;1324,177;33,44
490;PIZZETA INDIVIDUAL MALU;1999,99;1403,663;596,327;29,82
491;PANCETA SALADA;32999,9;16614,874;16385,026;49,65
492;CRIOLLO 214;30999,99;17686,485;13313,505;42,95
494;PROMOCION 4;7499,99;4976,055;2523,935;33,65
495;TAPA EMP HOJALDRE ORALI;1349,99;876,86;473,13;35,05
496;PROMOCION 1;7099,99;4902,163;2197,827;30,96
497;PROMOCION 2;8699,99;5804,488;2895,502;33,28
498;PROMOCION 3;6299,99;4326,858;1973,132;31,32
499;PARMESANO EST SAN FRANCISCO;29599,99;17350,866;12249,124;41,38
501;LEBERWURST EN TRIPA;7799,99;4445,283;3354,707;43,01
505;LONGANIZA SUPER;29999,9;15332,935;14666,965;48,89
507;MERM FRUT CORMILLOT;3199,99;2120,794;1079,196;33,72
508;MERM DURAZ CORMILLOT;2499,99;1659,635;840,355;33,61
509;CAMEMBERT;7899,99;5173,306;2726,684;34,52
510;POSTRE BOMBON;9999,99;5008,258;4991,732;49,92
512;MERM FRUT LAS QUINAS;4999,99;3340,679;1659,311;33,19
514;CERV BLEST IPA X 355 CC;2999,99;2322,588;677,402;22,58
516;BARRA SAN FRANCISCO X 1/4;11999,96;7760,974;4238,986;35,33
518;BARRA SAN FRANCISCO X 100;12999,9;7760,974;5238,926;40,3
521;MERM DURAZNO ESNAOLA;3999,99;2727,338;1272,652;31,82
522;CREMOSO EST SAN FRANCISCO;7599,99;5619,676;1980,314;26,06
523;JAMON NATURAL PROMO X 1/4;17199,96;7964,224;9235,736;53,7
525;PROMO SALAME Y QUESO;5899,99;3983,755;1916,235;32,48
526;COOKIES CHOCO C CHIPS;2299,99;1525,294;774,696;33,68
527;BONDIOLA ARTESANAL;37999,9;18711,642;19288,258;50,76
529;JAMON CRUDO DE LA CASA;47999,9;21690,469;26309,431;54,81
530;LOMO HORNEADO;28599,9;13884,871;14715,029;51,45
531;PROVOLONE;24999,99;13908,345;11091,645;44,37
538;MERM.ARANDANO C MICO;7299,99;4825,386;2474,604;33,9
542;JAMON CRUDO DESHUESADO SERR;55999,9;23525,666;32474,234;57,99
544;SALCHICHA ALEMANA C/PIEL FR;15999,99;10703,604;5296,386;33,1
545;SALCHICHA DEBRECZIN FRIOLIN;18299,99;12180,471;6119,519;33,44
547;VINO PRIV J RUBIO CAB;8899,99;6841,744;2058,246;23,13
553;RECARGAS;6049,99;4320,765;1729,225;28,58
554;COOKIES VAINI C SEMILLAS;2299,99;1525,294;774,696;33,68
558;VIENA COPETIN FRIOLIN;18299,99;11826,542;6473,448;35,37
559;CHORIZO ALEMAN FRIOLIN;15999,99;10379,956;5620,034;35,13
561;PECHUGA DE PAVO;33999,99;21922,028;12077,962;35,52
563;PALITOS SABOR QUESO;10599,9;5365,217;5234,683;49,38
564;PALITOS SABOR JAMON;10599,9;5365,217;5234,683;49,38
567;BARRA PAULINA X 1/4 KG;13599,96;8448,293;5151,667;37,88
568;MASCARPONE FESTA;4399,99;2926,832;1473,158;33,48
569;MERM DAMASC CORMILLOT;2499,99;1659,635;840,355;33,61
573;CERV BLEST PILSEN X 355 CC;2799,99;2156,862;643,128;22,97
576;MERM.FRUTILLA LOS CAROLINOS;3699,99;2473,737;1226,253;33,14
580;EST. TRUMPETER RES BLEND;17499,99;13222,024;4277,966;24,45
586;ACEITUNAS MIXTAS M.W;43999,9;26642,168;17357,732;39,45
588;MERM.ZAPALLO LOS CAROLINOS;3399,99;2248,844;1151,146;33,86
596;AC.VDE RELL NATURAL;35999,9;21292,944;14706,956;40,85
601;MERM.HIGO LOS CAROLINOS;3399,99;2248,844;1151,146;33,86
604;JAMON NATURAL PROMO X 100 G;18499,9;7964,224;10535,676;56,95
605;TAPA PASC PREMIUM ORALI;2199,99;1455,106;744,884;33,86
610;PROMOCION 12;6599,99;4400,485;2199,505;33,33
619;TORTILLAS ORALI;1499,99;1006,072;493,918;32,93
626;REGGIANITO DON SEVERINO;20599,99;12147,795;8452,195;41,03
634;PRETZELS AUTENTA X 150 G;4999,99;3507,297;1492,693;29,85
638;PROMO 15;10499,99;7223,47;3276,52;31,2
640;CREMA PAULINA;2299,99;1640,68;659,31;28,67
641;PROMO JAMON CRUDO Y QUESO;6799,99;4384,4;2415,59;35,52
645;PROMO 8 (JAMON Y QUESO);6499,99;4334,082;2165,908;33,32
647;AC VDE C/PROVOLONE;44999,9;27281,577;17718,323;39,37
649;PROMO 16;7299,99;4785,985;2514,005;34,44
650;JAM.COCIDO BAJO EN SODIO;18999,9;9316,831;9683,069;50,96
652;SARDO MIGUE;20799,99;12980,453;7819,537;37,59
664;TAPA PASC MIX DE SEMILLAS ORAL;2899,99;1960,009;939,981;32,41
665;PIONONO ORALI;2799,99;1776,688;1023,302;36,55
668;CERV BLEST SCOTCH X 355 CC;2799,99;2156,862;643,128;22,97
671;ANANA GLASEADO;49999,9;30845,998;19153,902;38,31
672;CREMOSO ESF X 1/2 HORMA;6799,99;5619,676;1180,314;17,36
675;MANI CON CHOCOLATE;3749,99;2586,166;1163,824;31,04
